Symbol,Name,Sector,Industry,MarketCap,SummaryQuote,ADRTSO,?field0,LastSale,
"WISA","Summit Wireless Technologies Inc.","Technology","Semiconductors",75588173.1,"https://www.nasdaq.com/symbol/wisa",null,2018,4.95,
"MSG","The Madison Square Garden Company","Consumer Services","Services-Misc. Amusement & Recreation",6551868377.7,"https://www.nasdaq.com/symbol/msg",null,2015,275.85,
"LNDC","Landec Corporation","Consumer Non-Durables","Packaged Foods",382940064,"https://www.nasdaq.com/symbol/lndc",null,1996,13.8,
"YGYI","Youngevity International Inc.","Consumer Services","Catalog/Specialty Distribution",146185051.26,"https://www.nasdaq.com/symbol/ygyi",null,null,6.78,
"WNEB","Western New England Bancorp Inc.","Finance","Savings Institutions",299549339.49,"https://www.nasdaq.com/symbol/wneb",null,null,10.07,
"SSRM","SSR Mining Inc.","Basic Industries","Precious Metals",1207140836.04,"https://www.nasdaq.com/symbol/ssrm",null,null,10.04,
"STLR","Stellar Acquisition III Inc.","Technology","EDP Services",29583624,"https://www.nasdaq.com/symbol/stlr",null,2016,10.5,
"NEBUW","Nebula Acquisition Corporation","Finance","Business Services",0,"https://www.nasdaq.com/symbol/nebuw",null,2018,1.39,
"CVLT","Commvault Systems Inc.","Technology","Computer Software: Prepackaged Software",2531878140.48,"https://www.nasdaq.com/symbol/cvlt",null,2006,55.36,
"KTOV","Kitov Pharma Ltd.","Health Care","Major Pharmaceuticals",13689477.32,"https://www.nasdaq.com/symbol/ktov","10779116",2015,1.27,
"BOLD","Audentes Therapeutics Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",1005644068.2,"https://www.nasdaq.com/symbol/bold",null,2016,26.94,
"AMCX","AMC Networks Inc.","Consumer Services","Television Services",3287044257.02,"https://www.nasdaq.com/symbol/amcx",null,null,57.74,
"AXAS","Abraxas Petroleum Corporation","Energy","Oil & Gas Production",296749775.46,"https://www.nasdaq.com/symbol/axas",null,null,1.78,
"GBLIZ","Global Indemnity Limited","Finance","Property-Casualty Insurers",0,"https://www.nasdaq.com/symbol/gbliz",null,null,25.4,
"PSCU","Invesco S&P SmallCap Utilities ETF",null,null,69576625,"https://www.nasdaq.com/symbol/pscu",null,null,55.6613,
"PDVW","pdvWireless Inc.","Public Utilities","Telecommunications Equipment",559207961.78,"https://www.nasdaq.com/symbol/pdvw",null,2015,38.54,
"SLNOW","Soleno Therapeutics Inc.","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus",0,"https://www.nasdaq.com/symbol/slnow",null,2014,0.14,
"MMDM","Modern Media Acquisition Corp.","Finance","Business Services",63686459.2,"https://www.nasdaq.com/symbol/mmdm",null,2017,10.15,
"SCYX","SCYNEXIS Inc.","Health Care","Major Pharmaceuticals",46543584.78,"https://www.nasdaq.com/symbol/scyx",null,2014,0.99,
"CATB","Catabasis Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals",44832346.2309,"https://www.nasdaq.com/symbol/catb",null,2015,0.6311,
"AVRO","AVROBIO Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",688902197.64,"https://www.nasdaq.com/symbol/avro",null,2018,28.78,
"LCAHU","Landcadia Holdings Inc.","Finance","Business Services",0,"https://www.nasdaq.com/symbol/lcahu",null,2016,14.5,
"SLGL","Sol-Gel Technologies Ltd.","Health Care","Major Pharmaceuticals",121279795.2,"https://www.nasdaq.com/symbol/slgl",null,2018,6.4,
"WWR","Westwater Resources Inc.","Basic Industries","Precious Metals",8506621.8376,"https://www.nasdaq.com/symbol/wwr",null,null,0.1636,
"EIGR","Eiger BioPharmaceuticals Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",170361493.12,"https://www.nasdaq.com/symbol/eigr",null,2014,11.96,
